,0,1
archer,0,44
archer-evolution,0,57
archer-queen,0,32
arrows,0,20
axe,5,13
baby-dragon,0,35
background-items,28,0
backgrounds,28,0
balloon,0,8
bandit,0,36
bar,68,71
bar-level,1,2
barbarian,0,42
barbarian-barrel,0,8
barbarian-hut,0,1
bat,0,95
battle-healer,0,26
battle-ram,0,16
big-text,6,0
bomb,0,9
bomb-tower,0,14
bomber,0,29
bomber-evolution,0,14
bowler,0,16
cannon,19,6
cannon-cart,0,18
cannoneer-tower,0,5
clock,17,13
clone,0,2
dark-prince,13,21
dart-goblin,0,21
dirt,27,0
earthquake,0,10
electro-dragon,0,23
electro-giant,0,13
electro-spirit,0,18
electro-wizard,0,17
elite-barbarian,0,28
elixir,32,0
elixir-collector,0,16
elixir-golem-big,0,11
elixir-golem-mid,0,12
elixir-golem-small,0,6
emote,22,0
evolution-symbol,26,0
executioner,0,20
fire-spirit,0,27
fireball,19,15
firecracker,0,14
firecracker-evolution,0,4
fisherman,0,30
flying-machine,0,25
freeze,0,5
furnace,0,2
giant,9,16
giant-skeleton,0,15
giant-snowball,0,11
goblin,26,37
goblin-ball,0,8
goblin-barrel,0,21
goblin-brawler,0,39
goblin-cage,0,2
goblin-drill,1,7
goblin-giant,0,20
goblin-hut,0,1
golden-knight,0,45
golem,8,17
golemite,8,17
graveyard,0,3
guard,0,70
heal-spirit,0,19
hog,0,16
hog-rider,47,19
hunter,0,22
ice-golem,41,13
ice-spirit,47,16
ice-wizard,0,60
inferno-dragon,0,27
inferno-tower,0,9
king-tower,22,33
king-tower-bar,10,4
knight,21,25
knight-evolution,0,21
lava-hound,0,22
lava-pup,0,36
lightning,0,13
little-prince,0,50
lumberjack,0,22
magic-archer,0,26
mega-knight,0,60
mega-minion,0,24
mighty-miner,0,10
miner,0,43
mini-pekka,0,26
minion,0,22
monk,0,22
mortar,2,8
mortar-evolution,0,11
mother-witch,0,38
musketeer,75,12
night-witch,0,36
pekka,0,22
phoenix-big,0,19
phoenix-egg,0,7
phoenix-small,0,14
poison,0,14
prince,0,58
princess,0,17
queen-tower,16,32
rage,0,9
ram-rider,0,18
rascal-boy,0,52
rascal-girl,0,98
rocket,0,21
royal-delivery,0,9
royal-ghost,0,21
royal-giant,2,8
royal-giant-evolution,0,16
royal-guardian,0,26
royal-hog,0,27
royal-recruit,0,67
skeleton,92,53
skeleton-barrel,0,12
skeleton-dragon,0,72
skeleton-evolution,21,25
skeleton-king,0,56
skeleton-king-bar,0,9
skeleton-king-skill,0,4
small-text,17,0
sparky,0,53
spear-goblin,2,85
tesla,0,12
tesla-evolution,0,10
tesla-evolution-shock,0,16
the-log,29,9
tombstone,0,1
tornado,0,13
tower-bar,22,22
valkyrie,0,20
valkyrie-evolution,0,35
wall-breaker,0,20
witch,0,17
wizard,0,41
x-bow,0,4
zap,0,8
zappy,0,30
