                                Old (v0.8) ->       New (v0.9)    Count
archer                             [ 0 30] ->          [ 0 44]        1
archer-evolution                     [0 0] ->          [ 0 57]        2
archer-queen                         [0 0] ->          [ 0 32]        3
balloon                              [0 0] ->            [0 8]        4
bar                                [58 57] ->          [66 62]        5
barbarian                          [ 0 38] ->          [ 0 42]        6
battle-healer                        [0 0] ->          [ 0 26]        7
battle-ram                           [0 0] ->          [ 0 16]        8
bomb                                 [0 6] ->            [0 7]        9
bowler                               [0 0] ->          [ 0 16]       10
cannon-cart                          [0 0] ->          [ 0 18]       11
clone                                [0 0] ->            [0 2]       12
dark-prince                          [0 0] ->          [ 0 21]       13
evolution-symbol                     [6 0] ->            [8 0]       14
giant                                [0 0] ->            [9 0]       15
goblin                             [ 0 25] ->          [26 25]       16
golem                              [ 0 17] ->          [ 8 17]       17
golemite                           [ 0 17] ->          [ 8 17]       18
ice-golem                          [32 12] ->          [36 12]       19
ice-spirit                         [28 16] ->          [42 16]       20
king-tower                         [15 26] ->          [16 28]       21
king-tower-bar                       [1 4] ->            [2 4]       22
knight                             [ 0 11] ->          [21 11]       23
queen-tower                        [11 28] ->          [12 29]       24
small-text                         [13  0] ->          [17  0]       25
tower-bar                          [18 22] ->          [22 22]       26
